UserID,AnimeID,Name,Genre,Type,EpisodeCount,Rating,ImageURL,time_of_day,purchase_history,Tags
7,9239,Scoopers,Action Sci-Fi,OVA,1,6.08,https://4.bp.blogspot.com/-zw28qKLRwbU/Wcj2QWErfBI/AAAAAAAALtI/DN-mYXg8-PwOkxFZo8OoKlKTHVDdpYxOgCLcBGAs/s1600/Dagwon%2B%252815%2529.jpg,2,5,"action, ova, scoopers"
325,13223,Bible Black: New Testament Recap,Hentai,OVA,1,6.6,https://images.entertainment.ie/media/w200_mHvE9LhhlzMHOsiLhdtMBnYtZGx.jpg?w=1280&h=768&q=high,2,5,"testament, black, bible, new, hentai, ova, recap"
265,3381,Fushigi no Umi no Nadia Specials,Adventure Sci-Fi,Special,10,6.78,https://th.bing.com/th/id/OIP.FG71Ttu1NpQMRMl2yLW0uAHaEJ?rs=1&pid=ImgDetMain,2,5,"adventure, umi, specials, fushigi, nadia, special"
236,16642,Ane Koi: Suki Kirai Daisuki.,Hentai,OVA,2,6.98,https://m.media-amazon.com/images/M/MV5BYTRkOWYxMDUtZDMwNy00ZmY2LWFmM2EtMWRhM2NjMmVhOWVkXkEyXkFqcGdeQXVyMTA3OTEyODI1._V1_.jpg,2,5,"daisuki, ane, hentai, ova, kirai, suki, koi"
156,10624,Mardock Scramble: The Second Combustion,Action Psychological Sci-Fi,Movie,1,7.5,https://somoskudasai.com/wp-content/uploads/2020/12/orphan_2nd_main.jpg,2,5,"scramble, psychological, movie, mardock, action, combustion, second"
125,8486,Kihei Senki Legacies,Fantasy Mecha,ONA,1,4.7,"https://m.media-amazon.com/images/M/MV5BMGQzYjFhMTgtY2Q4Yy00MDlmLTk3ZTItYTI1NjBiZjZmNGY2XkEyXkFqcGdeQXVyNTcyNTg3Nzc@._V1_UY1200_CR105,0,630,1200_AL_.jpg",2,5,"senki, kihei, ona, mecha, legacies, fantasy"
335,9900,Hamster Club,Kids,TV,140,6.65,https://th.bing.com/th/id/OIP.WVEWbc2HeBMhzo4zNYWRAwAAAA?rs=1&pid=ImgDetMain,2,5,"tv, club, hamster, kids"
24,4811,Ichigo Mashimaro Encore,Comedy Slice of Life,OVA,2,7.79,https://th.bing.com/th/id/OIP.Qw2cxLSwPzj1op_UZD265wAAAA?rs=1&pid=ImgDetMain,2,5,"encore, comedy, slice, ichigo, life, ova, mashimaro"
282,30079,Kirin no Otenki Mama-san,Fantasy,Special,12,3.53,https://cdn.myanimelist.net/images/anime/5/89585.jpg,2,5,"special, fantasy, otenki, kirin"
66,30829,Love Live! School Idol Project 2nd Season Recap,Music School Slice of Life,OVA,1,7.5,https://somoskudasai.com/wp-content/uploads/2020/12/orphan_2nd_main.jpg,2,5,"live, project, slice, love, school, life, idol, music, ova, recap, season"
