UserID,AnimeID,Name,Genre,Type,EpisodeCount,Rating,ImageURL,time_of_day,purchase_history,Tags
40,11447,Yuureisen,Supernatural,Movie,1,5.7,https://th.bing.com/th/id/OIP.9k-N4TemV50oHs3FB7bc8wAAAA?rs=1&pid=ImgDetMain,0,5,"supernatural, yuureisen, movie"
179,32983,Natsume Yuujinchou Go,Drama Fantasy Shoujo Slice of Life Supernatural,TV,13,8.76,https://th.bing.com/th/id/OIP.FG71Ttu1NpQMRMl2yLW0uAHaEJ?rs=1&pid=ImgDetMain,0,5,"natsume, drama, slice, yuujinchou, shoujo, supernatural, go, tv, fantasy, life"
345,33308,Tantei Opera Milky Holmes: Fun Fun Party Night♪ - Ken to Janet no Okurimono,Comedy Mystery Super Power,Special,1,0.0,https://th.bing.com/th/id/OIP.SuCkSa5yWxHuUXiQZ6-nRwHaEV?rs=1&pid=ImgDetMain,0,5,"milky, fun, okurimono, comedy, mystery, party, janet, holmes, super, power, ken, opera, tantei, special"
447,3842,Doubutsu Takarajima,Adventure,Movie,1,6.62,https://th.bing.com/th/id/OIP._67O8Y1-cz-3D2RHUWKIvgAAAA?rs=1&pid=ImgDetMain,0,5,"movie, takarajima, doubutsu, adventure"
57,856,Utawarerumono,Action Drama Fantasy Sci-Fi,TV,26,7.78,https://www.animeclick.it/images/Anime_big/HimitsuKesshaTakanoTsumeCountdown/HimitsuKesshaTakanoTsumeCountdown35.jpg,0,5,"drama, utawarerumono, tv, action, fantasy"
368,19961,Heisei Tensai Bakabon,Comedy Slice of Life,TV,46,6.77,https://images-na.ssl-images-amazon.com/images/I/81a5eZCYwiL.jpg,0,5,"heisei, bakabon, comedy, slice, tensai, tv, life"
78,21595,Yu☆Gi☆Oh! Zexal Second: Iza! Saishuu Kessen e!! Special,Action Fantasy Game Shounen,Special,1,6.38,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx12187-OBPQmrTNC6eY.png,0,5,"e, iza, game, kessen, saishuu, fantasy, zexal, shounen, action, second, special"
206,14471,Kaguya-hime: Taketori Monogatari,Hentai Historical,OVA,1,5.06,https://th.bing.com/th/id/OIP.8c-sBwl4b3BYupZnxAJX1wAAAA?rs=1&pid=ImgDetMain,0,5,"monogatari, historical, taketori, hentai, ova"
34,22593,Potecco Babies (2011),Comedy,ONA,12,4.85,https://cdn.myanimelist.net/images/anime/2/49297.jpg,0,5,"ona, comedy, babies, potecco"
318,30885,Noragami Aragoto OVA,Action Adventure Shounen,OVA,2,8.12,https://2.bp.blogspot.com/-OT78sDy_f5k/VAutWFtP0II/AAAAAAAAPDc/SNANr0qjzhI/s1600/yande.re%2B294449%2Bsample.jpg,0,5,"adventure, aragoto, noragami, ova, shounen, action"
